Band structure: 
2.8347708288 4.3786988558 
2.8926232947 4.3823746500 
2.9504757606 4.3859604581 
3.0083282265 4.3894533462 
3.0661806924 4.3928503736 
3.1240331583 4.3961485847 
3.1818856242 4.3993449965 
3.2397380901 4.4024365835 
3.2975905560 4.4054202582 
3.3554430219 4.4082928463 
3.4132954878 4.4110510544 
3.4711479537 4.4136914300 
3.5290004196 4.4162103097 
3.5868528854 4.4186037554 
3.6447053513 4.4208674725 
3.7025578172 4.4229967111 
3.7604102831 4.4249861443 
3.8182627490 4.4268297277 
3.8761152149 4.4285205427 
3.9339676808 4.4300506430 
3.9918201467 4.4314109373 
4.0496726126 4.4325911701 
4.1075250785 4.4335800968 
4.1653775444 4.4343659681 
4.2232300103 4.4349374167 
4.2810824762 4.4352847308 
4.3389349421 4.4354012885 
4.3723360788 4.4354593995 
4.4057372156 4.4356331165 
4.4391383523 4.4359206187 
4.4725394891 4.4363189554 
4.5059406259 4.4368241639 
4.5393417626 4.4374314188 
4.5727428994 4.4381352006 
4.6061440361 4.4389294701 
4.6395451729 4.4398078384 
4.6729463096 4.4407637236 
4.7063474464 4.4417904884 
4.7397485832 4.4428815550 
4.7731497199 4.4440304970 
4.8065508567 4.4452311090 
4.8399519934 4.4464774563 
4.8733531302 4.4477639073 
4.9067542669 4.4490851514 
4.9401554037 4.4504362058 
4.9735565405 4.4518124133 
5.0069576772 4.4532094343 
5.0403588140 4.4546232334 
5.0737599507 4.4560500641 
5.1071610875 4.4574864508 
5.1405622242 4.4589291710 
5.1739633610 4.4603752368 
5.2073644978 4.4618218769 
5.2407656345 4.4632665191 
5.2741667713 4.4647067743 
5.3075679080 4.4661404211 
5.3409690448 4.4675653915 
5.3743701815 4.4689797578 
5.4077713183 4.4703817207 
5.4411724551 4.4717695981 
5.4745735918 4.4731418153 
5.5079747286 4.4744968959 
5.5413758653 4.4758334534 
5.5747770021 4.4771501837 
5.6081781389 4.4784458587 
5.6415792756 4.4797193197 
5.6749804124 4.4809694722 
5.7083815491 4.4821952806 
5.7417826859 4.4833957639 
5.7751838226 4.4845699913 
5.8085849594 4.4857170790 
5.8419860962 4.4868361860 
5.8753872329 4.4879265117 
5.9087883697 4.4889872927 
5.9421895064 4.4900178004 
5.9755906432 4.4910173384 
6.0089917799 4.4919852407 
6.0423929167 4.4929208695 
6.0757940535 4.4938236133 
6.1091951902 4.4946928856 
6.1425963270 4.4955281229 
6.1759974637 4.4963287836 
6.2093986005 4.4970943464 
6.2427997372 4.4978243097 
6.2762008740 4.4985181898 
6.3096020108 4.4991755203 
6.3430031475 4.4997958513 
